INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
0002I;VANDELLÒS;TARRAGONA;VANDELLÒS I L'HOSPITALET DE L'INFANT;32;40,958056;0,871389;825831;4541326;ETRS89;08169;01/02/1959;30/09/2023
0009X;ALFORJA;TARRAGONA;ALFORJA;406;41,213889;0,963333;832278;4570083;ETRS89;;01/06/2008;
0016A;REUS/AEROPUERTO;TARRAGONA;REUS;71;41,145000;1,163611;849439;4563219;ETRS89;08175;01/02/1945;
0061X;PONTONS;BARCELONA;PONTONS;632;41,416944;1,519167;877713;4594913;ETRS89;;01/04/2009;
0066X;VILAFRANCA DEL PENEDÈS;BARCELONA;VILAFRANCA DEL PENEDÈS;177;41,330278;1,676944;891425;4585989;ETRS89;;01/12/2008;
0073X;SITGES-VALLCARCA;BARCELONA;SITGES;58;41,243889;1,852500;906659;4577204;ETRS89;;01/08/2009;
0076;BARCELONA/AEROPUERTO;BARCELONA;EL PRAT DE LLOBREGAT;4;41,292778;2,070000;924575;4583678;ETRS89;08181;01/03/1924;
0092X;BERGA, INSTITUTO;BARCELONA;BERGA;682;42,101389;1,857500;901697;4672469;ETRS89;;01/02/2009;
0106X;BALSARENY;BARCELONA;BALSARENY;361;41,866389;1,872500;904426;4646438;ETRS89;;01/09/2008;
0114X;PRATS DE LLUÇANÈS;BARCELONA;PRATS DE LLUÇANÈS;700;42,006944;2,026667;916308;4662790;ETRS89;;01/09/2008;
0120X;MOIÀ;BARCELONA;MOIÀ;742;41,813333;2,095278;923273;4641622;ETRS89;;01/02/2009;
0149X;MANRESA;BARCELONA;MANRESA;291;41,720000;1,840278;902669;4630027;ETRS89;08174;01/01/2005;
0171X;IGUALADA (AJUNTAMENT);BARCELONA;IGUALADA;313;41,578889;1,617778;884995;4613335;ETRS89;08172;01/01/2013;
0200E;BARCELONA (FABRA);BARCELONA;BARCELONA;408;41,418333;2,124167;928286;4597891;ETRS89;;01/09/1913;
0201D;BARCELONA, PORT OLÍMPIC;BARCELONA;BARCELONA;26;41,390556;2,200000;934813;4595184;ETRS89;08180;01/04/1994;
0222X;CALDES DE MONTBUI;BARCELONA;CALDES DE MONTBUI;175;41,612778;2,168333;930684;4619709;ETRS89;;01/07/2004;
0244X;VILASSAR DE DALT;BARCELONA;PREMIÀ DE DALT;56;41,505000;2,362500;947616;4608728;ETRS89;;01/08/2009;
0252D;ARENYS DE MAR;BARCELONA;ARENYS DE MAR;74;41,587500;2,540000;961848;4618830;ETRS89;08186;01/01/1981;
0255B;SANTA SUSANNA;BARCELONA;SANTA SUSANNA;40;41,650833;2,696944;974471;4626720;ETRS89;08188;01/08/2009;30/09/2023
0281Y;BLANES,JARDIN BOTANICO;GIRONA;BLANES;45;41,676944;2,805000;983278;4630224;ETRS89;;01/02/2009;
0284X;CASTELL PLATJA D'ARO;GIRONA;CASTELL-PLATJA D'ARO;14;41,807778;3,030833;1001064;4646055;ETRS89;;01/07/2009;
0312X;SANT PAU DE SEGURIES;GIRONA;SANT PAU DE SEGÚRIES;851;42,258333;2,364444;942532;4692418;ETRS89;;01/08/2009;
0320I;PLANOLES;GIRONA;PLANOLES;1151;42,316944;2,102778;920549;4697598;ETRS89;;01/07/2009;
0324A;RIPOLL;GIRONA;RIPOLL;675;42,191389;2,196111;929096;4684118;ETRS89;08118;01/09/1987;
0341;TONA (ESCOLA);BARCELONA;TONA;611;41,846667;2,226667;933962;4645980;ETRS89;;01/01/1990;
0341X;TONA;BARCELONA;TONA;607;41,846944;2,222500;933617;4645992;ETRS89;;01/02/2015;
0349;SANT JULIÀ DE VILATORTA;BARCELONA;SANT JULIÀ DE VILATORTA;578;41,926111;2,317500;940961;4655271;ETRS89;08119;01/02/1912;
0360X;LES PLANES D'HOSTOLES;GIRONA;LES PLANES D'HOSTOLES;322;42,052778;2,551111;959425;4670574;ETRS89;;01/08/2008;
0363X;SANT HILARI;GIRONA;SANT HILARI SACALM;810;41,880833;2,513333;957530;4651271;ETRS89;;01/07/2009;
0367;GIRONA/COSTA BRAVA;GIRONA;VILOBÍ D'ONYAR;143;41,911667;2,763333;978053;4656065;ETRS89;08184;01/01/1973;
0370E;GIRONA-PARC MIGDIA;GIRONA;GIRONA;76;41,972222;2,819444;982251;4663107;ETRS89;;01/07/2009;
0372C;PORQUERES;GIRONA;PORQUERES;157;42,104444;2,763611;976630;4677481;ETRS89;08120;01/03/2013;
0385X;L'ESTARTIT;GIRONA;TORROELLA DE MONTGRÍ;1;42,053889;3,201389;1013256;4674411;ETRS89;;01/09/2004;
0394X;VALL DE BIANYA;GIRONA;LA VALL DE BIANYA;350;42,210556;2,471944;951745;4687677;ETRS89;;01/09/2004;
0411X;CASTELLÓ D'EMPÚRIES;GIRONA;CASTELLÓ D'EMPÚRIES;2;42,224722;3,093056;1002927;4692742;ETRS89;;01/01/1997;
0413A;MAÇANET DE CABRENYS;GIRONA;MAÇANET DE CABRENYS;355;42,386944;2,755556;973837;4708818;ETRS89;;01/08/2014;
0421X;ESPOLLA, LES ALBERES;GIRONA;ESPOLLA;100;42,390000;3,006111;994447;4710591;ETRS89;;01/02/2009;
0429X;FIGUERES, ELS ASPRES;GIRONA;FIGUERES;45;42,259167;2,960278;991695;4695790;ETRS89;;01/02/2009;
